name,date,intensity,color,t_start_interval,time1,time2,time3
RW,Wed Apr  6 12:58:37 2016,1023,G,0.5,0.3,1.7,0.3
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
600.0,200.0,0.5,1.5,2.82253694534,y,1
800.0,400.0,0.5,1.1,2.80955886841,y,1
600.0,400.0,0.7,1.7,2.97344183922,n,0
400.0,600.0,0.5,1.6,2.7422850132,n,0
800.0,600.0,0.5,0.7,2.87302398682,n,0
800.0,800.0,0.7,1.9,2.71120595932,n,1
200.0,200.0,0.5,0.6,2.95151901245,n,1
800.0,200.0,0.8,1.8,2.86251497269,y,1
600.0,600.0,0.7,1.4,3.01618885994,n,1
200.0,800.0,0.6,1.8,2.97037911415,y,1
600.0,800.0,0.6,1.3,3.22096014023,n,0
400.0,200.0,0.5,1.5,2.76563501358,y,1
200.0,400.0,0.5,1.5,1.73866486549,y,1
400.0,400.0,0.7,0.4,3.66941690445,n,1
200.0,600.0,0.9,1.1,1.62229084969,y,1
400.0,800.0,0.8,1.3,2.8473610878,n,0
