name,date,intensity,color,t_start_interval,time1,time2,time3
RW,Thu Apr  7 10:02:44 2016,1023,G,0.5,0.3,1.7,0.3
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
600.0,600.0,0.8,1.0,4.45065116882,n,1
400.0,600.0,0.8,1.1,3.38850092888,n,0
200.0,600.0,0.5,1.9,3.76754689217,y,1
600.0,800.0,0.5,0.3,3.37198185921,n,0
200.0,400.0,0.8,0.3,6.56353998184,n,0
600.0,200.0,0.7,0.5,4.3279941082,y,1
800.0,600.0,0.7,0.6,3.09416413307,n,0
800.0,400.0,0.9,1.1,3.0531680584,y,1
400.0,400.0,0.9,1.6,3.79062104225,n,1
600.0,400.0,0.7,0.3,9.65989685059,n,0
400.0,200.0,0.9,1.2,2.53540706635,y,1
200.0,200.0,0.7,1.8,2.88107705116,n,1
800.0,800.0,0.5,1.2,3.23712086678,n,1
800.0,200.0,0.8,1.4,1.65181279182,y,1
400.0,800.0,0.7,0.9,3.47906684875,y,1
200.0,800.0,0.7,0.5,1.03992390633,y,1
