name,date,intensity,color,t_start_interval,time1,time2,time3
ML,Thu Apr 14 11:06:07 2016,1023,G,0.5,0.5,1.7,0.3
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
600.0,600.0,1.4,2.0,2.95978999138,n,1
600.0,200.0,1.3,1.0,2.54005098343,y,1
800.0,400.0,1.2,1.8,2.57547307014,y,1
400.0,800.0,1.3,2.0,4.27907395363,y,1
200.0,400.0,1.3,0.7,6.17632293701,y,1
600.0,600.0,1.2,1.6,2.57640194893,n,1
200.0,400.0,1.4,1.9,8.65785312653,y,1
800.0,200.0,1.2,1.9,6.62278580666,y,1
200.0,600.0,1.3,1.1,6.44685983658,y,1
400.0,600.0,1.4,1.8,2.69189500809,n,0
800.0,600.0,1.2,1.1,2.70833802223,n,0
400.0,200.0,1.3,2.1,4.58132815361,y,1
400.0,400.0,1.0,1.1,2.56120681763,n,1
800.0,600.0,1.1,0.8,4.15433096886,n,0
400.0,200.0,1.3,1.2,2.99459505081,y,1
600.0,200.0,1.2,0.8,2.63558006287,y,1
200.0,600.0,1.3,1.1,2.93460297585,n,0
600.0,600.0,1.3,1.4,5.42166185379,n,1
800.0,600.0,1.2,1.6,5.08333516121,n,0
400.0,600.0,1.0,0.7,2.85205411911,n,0
400.0,200.0,1.1,1.7,2.51574397087,y,1
800.0,200.0,1.3,2.1,2.93638586998,y,1
400.0,200.0,1.3,2.1,5.0644299984,y,1
600.0,200.0,1.4,0.6,3.8962328434,n,0
600.0,400.0,1.4,1.6,4.80893802643,n,0
600.0,600.0,1.1,0.9,4.18093109131,n,1
400.0,600.0,1.4,1.7,8.00887393951,n,0
200.0,400.0,1.1,0.8,2.50106811523,y,1
600.0,600.0,1.3,1.7,4.09895300865,n,1
200.0,200.0,1.4,1.7,4.24535393715,n,1
400.0,200.0,1.1,1.3,2.51014900208,y,1
200.0,600.0,1.1,1.5,3.16564106941,y,1
200.0,400.0,1.3,1.8,2.88167691231,y,1
800.0,400.0,1.0,1.7,3.70246219635,y,1
600.0,400.0,1.3,1.4,3.28481316566,n,0
600.0,800.0,1.4,1.4,3.07073497772,n,0
400.0,400.0,1.4,1.4,2.84030008316,n,1
200.0,800.0,1.1,0.9,2.85625004768,y,1
200.0,200.0,1.1,1.7,2.8089659214,n,1
800.0,200.0,1.1,1.9,2.95588684082,y,1
600.0,400.0,1.1,1.5,3.51770782471,n,0
200.0,200.0,1.4,1.8,2.74235796928,n,1
600.0,400.0,1.4,1.3,3.58319807053,y,1
200.0,600.0,1.1,2.0,4.25887203217,y,1
600.0,600.0,1.2,0.6,2.92423987389,n,1
400.0,800.0,1.0,0.7,2.70213699341,y,1
600.0,200.0,1.3,1.0,2.83040690422,y,1
200.0,200.0,1.2,1.7,2.73485302925,n,1
400.0,400.0,1.4,1.1,3.44054102898,n,1
200.0,800.0,1.4,1.3,2.49677395821,y,1
400.0,600.0,1.1,1.0,2.85426592827,n,0
200.0,200.0,1.4,2.1,2.82573103905,n,1
200.0,800.0,1.3,1.2,2.49738812447,y,1
600.0,200.0,1.2,1.9,2.61889410019,y,1
200.0,400.0,1.3,1.8,2.72715306282,y,1
400.0,200.0,1.1,2.0,14.9521248341,n,0
800.0,200.0,1.2,0.9,2.64261102676,y,1
800.0,600.0,1.3,1.2,2.78641796112,n,0
200.0,800.0,1.3,1.7,2.89860701561,y,1
200.0,200.0,1.4,1.9,2.70926713943,n,1
800.0,200.0,1.1,1.4,2.49484801292,y,1
800.0,600.0,1.1,0.7,2.69458413124,n,0
400.0,600.0,1.2,1.3,3.62392902374,n,0
800.0,600.0,1.3,1.2,2.85925006866,n,0
400.0,600.0,1.2,0.7,4.41074299812,n,0
400.0,800.0,1.0,0.7,3.57635903358,n,0
400.0,800.0,1.0,1.1,5.11714506149,y,1
200.0,800.0,1.4,0.6,2.65919995308,y,1
400.0,600.0,1.2,0.6,2.75896286964,n,0
600.0,400.0,1.1,1.6,7.93768692017,n,0
800.0,200.0,1.2,1.2,2.7086250782,y,1
800.0,200.0,1.0,0.6,3.3593249321,y,1
200.0,600.0,1.4,0.9,3.10301613808,y,1
400.0,800.0,1.2,1.0,2.72647404671,n,0
600.0,600.0,1.3,1.0,2.59897685051,n,1
800.0,800.0,1.0,0.5,2.76912903786,n,1
200.0,600.0,1.2,0.6,8.3909330368,y,1
600.0,800.0,1.2,1.6,2.59111690521,n,0
800.0,800.0,1.3,2.1,2.50484108925,n,1
600.0,200.0,1.1,1.4,2.55774307251,y,1
800.0,600.0,1.2,0.7,3.61073803902,n,0
600.0,200.0,1.1,1.2,3.38173484802,y,1
200.0,800.0,1.0,1.5,2.55853486061,y,1
200.0,800.0,1.3,0.5,2.82717299461,n,0
600.0,800.0,1.3,0.9,2.60436606407,n,0
600.0,200.0,1.3,0.7,2.59770011902,y,1
800.0,800.0,1.0,0.6,2.55505895615,n,1
600.0,800.0,1.4,1.2,3.51865410805,n,0
400.0,400.0,1.4,1.6,2.7245490551,n,1
400.0,400.0,1.2,1.3,2.86248517036,n,1
400.0,800.0,1.3,1.0,12.3241679668,n,0
800.0,800.0,1.3,1.1,2.70754408836,n,1
200.0,200.0,1.2,1.3,2.87986207008,n,1
600.0,600.0,1.0,1.8,5.17410588264,n,1
800.0,400.0,1.1,0.9,2.53128600121,y,1
600.0,200.0,1.3,2.0,8.45068287849,y,1
400.0,600.0,1.2,0.6,2.57845497131,n,0
600.0,600.0,1.3,1.3,2.77189207077,n,1
400.0,200.0,1.0,2.0,2.59919095039,y,1
800.0,200.0,1.2,1.4,2.72370386124,y,1
200.0,200.0,1.1,0.9,3.11568903923,n,1
200.0,200.0,1.1,1.4,3.02524805069,n,1
200.0,800.0,1.2,0.9,3.2052989006,y,1
200.0,400.0,1.2,1.0,2.54120397568,n,0
200.0,400.0,1.2,0.7,1.59387516975,n,0
400.0,800.0,1.0,0.6,2.76342916489,n,0
200.0,800.0,1.2,2.1,7.67186403275,n,0
400.0,400.0,1.0,1.4,2.87978196144,n,1
600.0,800.0,1.3,0.5,2.80431509018,n,0
800.0,400.0,1.2,2.0,10.813117981,n,0
800.0,800.0,1.3,1.8,3.4061498642,n,1
600.0,400.0,1.1,0.9,3.17243504524,n,0
