name,date,intensity,color,t_start_interval,time1,time2,time3
RW,Mon Apr 11 17:28:53 2016,1023,G,0.5,0.3,1.7,0.3
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
400.0,800.0,0.5,1.5,3.26964497566,y,1
600.0,600.0,0.6,0.7,3.04999899864,n,1
800.0,600.0,0.8,1.0,1.32959699631,y,1
400.0,800.0,0.8,1.4,1.89216804504,y,1
600.0,600.0,0.6,1.9,3.29976892471,n,1
200.0,200.0,0.5,1.1,3.33419489861,n,1
400.0,400.0,0.5,1.4,3.06149792671,n,1
200.0,800.0,0.5,1.8,2.3962688446,y,1
200.0,200.0,0.5,1.1,3.2756228447,n,1
400.0,200.0,0.6,1.1,1.52521085739,y,1
200.0,800.0,0.8,1.0,1.40751600266,y,1
600.0,600.0,0.5,1.4,3.3526301384,y,0
800.0,200.0,0.9,0.9,1.41951298714,y,1
600.0,600.0,0.8,1.4,3.07692694664,n,1
600.0,600.0,0.6,1.2,4.22356200218,y,0
400.0,800.0,0.8,0.7,3.43010091782,n,0
400.0,200.0,0.7,1.4,1.96787500381,y,1
600.0,200.0,0.6,0.9,1.41651201248,y,1
600.0,800.0,0.6,0.9,2.54979515076,n,0
600.0,200.0,0.9,1.1,1.50809216499,y,1
600.0,600.0,0.9,1.4,3.26719093323,n,1
400.0,400.0,0.7,1.2,3.30411791801,n,1
400.0,200.0,0.9,0.6,1.0206489563,y,1
200.0,200.0,0.5,0.3,3.54933595657,n,1
600.0,800.0,0.7,1.0,3.35641288757,n,0
600.0,400.0,0.7,1.9,3.56273579597,y,1
200.0,400.0,0.8,1.0,1.66565084457,y,1
600.0,800.0,0.5,1.0,3.19888496399,n,0
200.0,200.0,0.8,0.5,3.60195088387,n,1
400.0,800.0,0.6,1.8,2.51922297478,y,1
200.0,400.0,0.7,0.8,1.23698806763,y,1
400.0,200.0,0.9,1.9,2.46760106087,y,1
600.0,200.0,0.5,0.6,3.28080582619,y,1
200.0,400.0,0.6,1.8,2.57184791565,y,1
400.0,600.0,0.9,0.6,3.39962816238,n,0
600.0,400.0,0.7,0.5,3.29668307304,n,0
600.0,800.0,0.5,0.6,3.37160396576,n,0
800.0,200.0,0.7,1.0,1.39072585106,y,1
600.0,800.0,0.6,0.7,3.35807394981,n,0
800.0,800.0,0.7,1.6,3.34625792503,n,1
800.0,400.0,0.7,1.1,1.47712278366,y,1
800.0,200.0,0.6,1.2,1.60380601883,y,1
400.0,800.0,0.6,1.8,2.15945005417,y,1
600.0,600.0,0.5,0.8,3.22383713722,n,1
800.0,600.0,0.5,0.7,3.37029099464,n,0
200.0,600.0,0.9,1.3,1.62381291389,y,1
600.0,200.0,0.7,1.8,2.24099993706,y,1
600.0,800.0,0.7,1.6,3.01345610619,y,1
200.0,400.0,0.6,0.9,1.51006197929,y,1
400.0,600.0,0.6,1.7,3.19782710075,y,1
200.0,400.0,0.5,1.4,1.68263792992,y,1
600.0,600.0,0.6,0.7,3.09826183319,n,1
800.0,800.0,0.5,0.5,3.52576494217,n,1
200.0,600.0,0.7,1.1,1.62261915207,y,1
400.0,600.0,0.6,0.9,3.73744082451,n,0
800.0,400.0,0.9,0.9,4.10402703285,y,1
200.0,800.0,0.5,1.6,1.95559597015,y,1
200.0,600.0,0.8,0.9,1.23036599159,y,1
200.0,200.0,0.6,0.8,3.68338012695,n,1
600.0,200.0,0.8,1.3,1.60400509834,y,1
600.0,400.0,0.9,1.3,3.39668297768,n,0
400.0,400.0,0.5,1.1,3.21406292915,n,1
400.0,600.0,0.6,0.8,3.52356290817,y,1
200.0,200.0,0.5,0.7,3.77686500549,n,1
200.0,200.0,0.6,0.6,3.91198396683,n,1
200.0,800.0,0.9,0.9,1.26073002815,y,1
400.0,200.0,0.7,0.4,0.853394985199,y,1
600.0,400.0,0.6,0.7,3.3007671833,n,0
200.0,400.0,0.6,0.5,0.918529987335,y,1
800.0,400.0,0.7,0.7,3.82321596146,n,0
400.0,200.0,0.5,0.9,1.20082092285,y,1
400.0,200.0,0.8,1.6,1.90244317055,y,1
800.0,600.0,0.9,1.9,3.15670204163,n,0
800.0,200.0,0.6,1.8,2.13295793533,y,1
200.0,800.0,0.6,0.4,3.21725296974,y,1
600.0,400.0,0.5,0.8,1.35065412521,y,1
200.0,600.0,0.6,0.3,4.17600393295,y,1
600.0,200.0,0.7,1.7,2.20278596878,y,1
200.0,800.0,0.5,0.8,1.13814282417,y,1
800.0,200.0,0.7,0.6,1.01993894577,y,1
200.0,600.0,0.9,1.5,4.18480205536,n,0
400.0,800.0,0.8,1.5,3.03635191917,y,1
200.0,400.0,0.9,0.5,0.936923980713,y,1
800.0,400.0,0.9,0.7,4.46628713608,y,1
200.0,600.0,0.8,1.5,1.91852593422,y,1
800.0,800.0,0.5,1.0,3.49664306641,n,1
400.0,600.0,0.8,0.3,3.55451798439,n,0
200.0,400.0,0.6,1.3,1.69200491905,y,1
200.0,200.0,0.6,1.4,2.90526008606,n,1
600.0,200.0,0.5,1.6,2.11120200157,y,1
400.0,400.0,0.9,0.6,3.18863797188,n,1
600.0,200.0,0.7,0.4,2.87326216698,y,1
400.0,800.0,0.7,1.4,3.78139710426,n,0
400.0,600.0,0.9,1.9,3.35680985451,n,0
200.0,800.0,0.8,1.3,1.71075987816,y,1
400.0,400.0,0.8,1.3,3.58922815323,n,1
200.0,600.0,0.5,1.6,2.14922904968,y,1
400.0,800.0,0.8,1.5,3.59208703041,n,0
800.0,200.0,0.6,1.0,1.36137795448,y,1
400.0,400.0,0.9,1.4,3.11822795868,n,1
800.0,800.0,0.7,1.8,3.24903202057,n,1
800.0,400.0,0.9,1.9,3.32008099556,n,0
800.0,400.0,0.8,1.1,3.31904816628,n,0
800.0,400.0,0.6,0.5,1.2213871479,y,1
800.0,400.0,0.8,1.8,3.3936021328,n,0
600.0,600.0,0.7,1.3,3.4584479332,n,1
800.0,800.0,0.6,1.0,3.68194317818,n,1
600.0,200.0,0.5,1.7,2.13323688507,y,1
800.0,200.0,0.6,1.4,1.65621185303,y,1
200.0,400.0,0.6,1.5,1.84171080589,y,1
400.0,800.0,0.5,0.6,3.36254501343,y,1
200.0,800.0,0.7,0.3,0.759072065353,y,1
800.0,800.0,0.9,1.0,3.48342704773,n,1
800.0,200.0,0.8,1.4,1.79586005211,y,1
800.0,800.0,0.9,0.7,3.00792217255,n,1
800.0,600.0,0.7,0.3,3.91103601456,n,0
800.0,600.0,0.6,0.8,3.87746405602,n,0
400.0,800.0,0.5,1.2,3.87623000145,n,0
600.0,800.0,0.7,1.8,3.92974901199,n,0
800.0,600.0,0.9,1.1,3.36874103546,n,0
400.0,400.0,0.7,1.1,2.92013382912,n,1
800.0,600.0,0.9,0.7,3.26927399635,n,0
200.0,800.0,0.7,0.4,0.986207008362,y,1
400.0,400.0,0.8,1.3,3.09654116631,n,1
600.0,400.0,0.5,0.6,3.38542509079,n,0
400.0,200.0,0.6,1.4,1.71032094955,y,1
400.0,200.0,0.6,1.2,1.47907590866,y,1
200.0,200.0,0.9,1.2,3.08180093765,n,1
600.0,200.0,0.7,1.6,1.94918417931,y,1
