name,date,intensity,color,t_start_interval,time1,time2,time3
RW_blau,Thu Apr 14 16:07:25 2016,1023,B,0.5,0.5,1.7,0.5
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
200.0,600.0,1.2,1.0,1.83548402786,y,1
200.0,800.0,1.3,1.4,1.89957308769,y,1
600.0,500.0,1.2,1.1,3.41120815277,n,0
600.0,800.0,1.4,1.8,3.35437583923,n,0
600.0,600.0,1.1,1.4,3.66042494774,n,1
400.0,200.0,1.4,1.9,2.32065582275,y,1
500.0,200.0,1.3,0.6,0.916025161743,y,1
600.0,200.0,1.0,0.7,1.06997799873,y,1
200.0,500.0,1.3,1.2,1.62788486481,y,1
200.0,200.0,1.3,0.6,3.37794208527,n,1
200.0,600.0,1.0,1.4,1.82812213898,y,1
500.0,800.0,1.0,1.1,3.35271501541,n,0
600.0,400.0,1.2,1.5,3.3291478157,n,0
600.0,500.0,1.3,1.6,3.35242486,n,0
400.0,400.0,1.1,1.7,3.35599803925,n,1
500.0,200.0,1.4,1.4,1.81619787216,y,1
500.0,400.0,1.4,1.5,3.35873198509,n,0
500.0,800.0,1.1,0.9,3.93751597404,n,0
600.0,600.0,1.3,1.3,3.42297196388,n,1
500.0,800.0,1.0,1.8,3.4342250824,n,0
600.0,500.0,1.2,1.0,3.35748791695,y,1
400.0,800.0,1.3,1.2,1.7417781353,y,1
200.0,400.0,1.1,0.7,1.1301009655,y,1
600.0,200.0,1.3,0.9,1.2755818367,y,1
600.0,400.0,1.4,1.2,3.35218000412,n,0
200.0,800.0,1.4,1.2,1.57088208199,y,1
500.0,800.0,1.4,1.6,3.37157797813,n,0
800.0,800.0,1.2,2.0,3.41339302063,n,1
800.0,800.0,1.2,0.8,3.35443401337,n,1
800.0,400.0,1.3,1.7,3.51816010475,n,0
200.0,500.0,1.2,0.6,1.10807800293,y,1
600.0,800.0,1.2,1.4,3.35540914536,n,0
800.0,200.0,1.3,0.5,0.873936891556,y,1
500.0,800.0,1.3,1.8,3.92431998253,n,0
400.0,500.0,1.3,1.1,3.40836310387,n,0
600.0,800.0,1.4,1.2,3.48557782173,n,0
600.0,600.0,1.0,1.8,3.35632896423,n,1
500.0,400.0,1.1,1.9,3.87437701225,n,0
600.0,800.0,1.3,0.9,3.35229611397,y,1
200.0,600.0,1.2,1.7,2.06259608269,y,1
400.0,800.0,1.0,1.0,1.59927010536,y,1
600.0,200.0,1.2,0.8,1.12399411201,y,1
200.0,500.0,1.0,1.2,1.51073908806,y,1
800.0,200.0,1.2,1.8,2.09768915176,n,0
600.0,200.0,1.1,1.1,1.40898799896,y,1
800.0,600.0,1.0,2.0,3.4073600769,n,0
400.0,400.0,1.2,1.0,4.81731987,n,1
200.0,400.0,1.0,0.6,1.03506684303,y,1
500.0,800.0,1.2,1.0,3.35403800011,n,0
600.0,500.0,1.2,1.4,3.59765791893,n,0
800.0,800.0,1.2,1.2,3.69229316711,n,1
500.0,600.0,1.3,1.3,4.33430600166,n,0
200.0,400.0,1.2,1.8,2.14849495888,y,1
500.0,400.0,1.0,1.1,3.50103187561,n,0
600.0,400.0,1.0,0.5,3.58068799973,n,0
400.0,500.0,1.3,1.9,3.49861001968,n,0
400.0,200.0,1.3,0.6,0.936607837677,y,1
400.0,600.0,1.1,1.6,3.50928997993,n,0
400.0,400.0,1.4,1.8,3.36176514626,n,1
200.0,400.0,1.4,0.5,3.51019978523,n,0
400.0,500.0,1.4,0.6,3.58678793907,n,0
600.0,400.0,1.3,0.9,3.58528709412,n,0
600.0,600.0,1.2,0.9,3.35656690598,n,1
400.0,200.0,1.2,0.5,0.908926963806,y,1
800.0,400.0,1.1,1.0,3.8663392067,n,0
400.0,600.0,1.2,1.5,3.58720707893,n,0
800.0,600.0,1.4,0.8,3.39429092407,n,0
400.0,800.0,1.4,1.1,3.51892590523,n,0
600.0,200.0,1.0,1.9,2.49109196663,y,1
500.0,200.0,1.3,0.8,1.08865189552,y,1
800.0,200.0,1.2,1.6,1.9260931015,y,1
200.0,500.0,1.3,0.5,1.1641471386,y,1
200.0,400.0,1.3,1.4,2.32999706268,y,1
200.0,400.0,1.1,0.8,3.68880701065,y,1
800.0,600.0,1.1,0.9,3.36190795898,n,0
400.0,600.0,1.0,1.9,3.96332383156,n,0
400.0,500.0,1.0,1.0,3.39551401138,n,0
200.0,600.0,1.2,1.7,3.60761499405,y,1
600.0,800.0,1.3,0.8,3.84019804001,n,0
600.0,400.0,1.3,1.6,3.77386188507,n,0
800.0,500.0,1.1,1.8,3.53870606422,n,0
200.0,800.0,1.3,0.9,1.29452109337,y,1
800.0,400.0,1.3,1.0,3.44351196289,n,0
200.0,600.0,1.3,2.0,2.64342308044,y,1
400.0,500.0,1.0,1.2,3.36055898666,n,0
800.0,800.0,1.4,1.0,3.73286485672,n,1
600.0,600.0,1.4,1.1,3.52006292343,n,1
800.0,400.0,1.2,1.5,3.44959902763,n,0
400.0,600.0,1.1,1.3,3.37124896049,n,0
500.0,400.0,1.4,0.9,3.59207391739,n,0
500.0,600.0,1.2,2.1,3.35958695412,n,0
800.0,600.0,1.1,0.5,3.39499115944,n,0
400.0,200.0,1.1,2.1,1.46212291718,y,1
500.0,600.0,1.4,1.3,3.35598707199,n,0
200.0,200.0,1.3,0.6,3.35401391983,n,1
500.0,200.0,1.2,1.1,1.44493913651,y,1
400.0,200.0,1.1,2.0,2.30240917206,y,1
600.0,400.0,1.3,1.1,3.36643695831,n,0
400.0,400.0,1.4,1.6,3.5480530262,n,1
600.0,800.0,1.0,0.9,3.41407704353,n,0
500.0,800.0,1.1,1.6,3.57991886139,n,0
400.0,400.0,1.4,1.7,3.49807190895,n,1
500.0,400.0,1.4,2.0,3.43250083923,n,0
600.0,200.0,1.4,2.1,3.3614180088,y,1
400.0,200.0,1.0,2.0,2.33370280266,y,1
800.0,500.0,1.0,0.6,3.35436797142,n,0
400.0,500.0,1.0,2.0,3.3593788147,n,0
400.0,600.0,1.0,1.7,3.35726904869,n,0
400.0,200.0,1.4,1.0,1.39235210419,y,1
400.0,800.0,1.4,0.8,3.36462402344,n,0
800.0,800.0,1.2,1.6,3.35636687279,n,1
800.0,500.0,1.2,2.1,3.33947896957,n,0
200.0,800.0,1.0,1.4,1.74692296982,y,1
500.0,400.0,1.3,2.0,3.35270786285,n,0
800.0,200.0,1.4,1.1,1.57758307457,y,1
200.0,200.0,1.1,2.1,3.45764684677,n,1
400.0,800.0,1.3,2.0,3.35718202591,n,0
800.0,600.0,1.2,1.8,3.36603498459,n,0
600.0,600.0,1.2,1.3,3.35349583626,n,1
200.0,200.0,1.3,1.6,3.35606312752,n,1
400.0,600.0,1.2,0.7,3.35341191292,n,0
800.0,200.0,1.3,1.0,1.46202898026,y,1
600.0,800.0,1.3,1.6,3.36255002022,n,0
600.0,400.0,1.2,1.4,3.35700798035,n,0
800.0,500.0,1.2,1.8,3.36574316025,n,0
200.0,200.0,1.4,1.2,3.35858893394,n,1
800.0,500.0,1.4,1.7,3.42401695251,n,0
600.0,500.0,1.1,1.7,3.36248898506,n,0
800.0,500.0,1.1,2.0,3.35263204575,n,0
800.0,200.0,1.2,1.2,1.48163509369,y,1
200.0,800.0,1.4,1.9,2.24644994736,y,1
800.0,400.0,1.3,1.0,3.35119509697,n,0
500.0,600.0,1.2,1.7,3.34993505478,n,0
800.0,400.0,1.3,0.9,3.36548089981,n,0
400.0,600.0,1.2,0.5,3.40107512474,n,0
500.0,400.0,1.3,1.3,3.35569190979,n,0
800.0,500.0,1.3,1.8,3.36064910889,n,0
800.0,600.0,1.4,1.2,4.33111596107,n,0
800.0,600.0,1.3,0.7,3.36192083359,n,0
400.0,500.0,1.2,1.0,3.35831594467,n,0
600.0,500.0,1.0,1.6,3.57901310921,n,0
200.0,400.0,1.3,0.6,3.35828399658,n,0
800.0,600.0,1.3,0.6,3.87915897369,n,0
200.0,200.0,1.1,2.1,3.35339903831,n,1
600.0,200.0,1.3,0.7,1.10135889053,n,0
500.0,800.0,1.1,0.5,3.3516561985,n,0
500.0,200.0,1.0,1.9,2.32861590385,y,1
800.0,200.0,1.1,1.6,1.9131629467,y,1
200.0,200.0,1.1,2.1,3.35070514679,n,1
600.0,800.0,1.3,1.5,3.44843411446,n,0
800.0,400.0,1.3,1.8,3.36018681526,n,0
400.0,200.0,1.4,0.7,1.07337117195,y,1
500.0,400.0,1.3,0.8,4.8340010643,n,0
200.0,500.0,1.2,2.0,2.65229892731,y,1
500.0,200.0,1.2,1.0,1.38113594055,y,1
800.0,500.0,1.2,1.3,3.39056897163,n,0
500.0,600.0,1.0,1.9,3.35831594467,y,1
200.0,800.0,1.0,0.5,1.13375902176,y,1
400.0,800.0,1.2,1.1,3.35303902626,n,0
800.0,800.0,1.2,0.7,3.36119604111,n,1
400.0,200.0,1.0,1.1,1.51455497742,y,1
800.0,800.0,1.2,0.5,3.3550260067,n,1
500.0,600.0,1.0,1.3,3.35605382919,n,0
500.0,800.0,1.3,1.5,3.35149002075,n,0
600.0,600.0,1.3,1.7,3.54697608948,n,1
400.0,500.0,1.1,1.7,3.36335396767,n,0
400.0,600.0,1.0,2.0,3.35799503326,n,0
500.0,200.0,1.4,1.3,1.81073999405,y,1
200.0,800.0,1.1,1.5,1.88884186745,y,1
600.0,200.0,1.2,1.0,1.36041903496,y,1
400.0,200.0,1.1,0.8,1.21409988403,y,1
400.0,600.0,1.2,0.5,3.36312818527,n,0
600.0,800.0,1.0,1.8,3.35186910629,n,0
500.0,400.0,1.4,1.6,3.40073299408,n,0
400.0,800.0,1.2,2.0,3.35894703865,n,0
600.0,400.0,1.0,1.6,3.35750508308,n,0
800.0,400.0,1.0,1.3,3.77887392044,n,0
500.0,600.0,1.0,1.7,3.43207287788,n,0
200.0,200.0,1.0,1.1,3.38672804832,n,1
400.0,800.0,1.2,1.5,3.44848108292,n,0
500.0,600.0,1.2,0.6,3.3566839695,n,0
200.0,500.0,1.2,0.6,3.53820300102,n,0
600.0,500.0,1.3,1.7,3.72545313835,n,0
500.0,600.0,1.3,1.3,3.35245704651,n,0
800.0,400.0,1.3,1.8,3.3621981144,y,1
800.0,600.0,1.4,1.2,3.44230699539,n,0
200.0,800.0,1.3,1.7,2.14328789711,y,1
600.0,800.0,1.4,0.9,3.36020803452,n,0
200.0,400.0,1.4,1.6,2.29095506668,y,1
600.0,600.0,1.1,1.1,3.35901999474,n,1
500.0,600.0,1.1,2.0,3.44176506996,n,0
200.0,600.0,1.0,1.8,2.50861001015,y,1
200.0,800.0,1.0,0.8,3.35383987427,n,0
800.0,600.0,1.3,1.6,3.3542599678,n,0
400.0,400.0,1.4,1.0,3.44267582893,n,1
200.0,200.0,1.0,1.2,3.95358586311,n,1
600.0,400.0,1.2,0.9,3.36489582062,n,0
800.0,500.0,1.2,1.3,3.33477187157,n,0
800.0,800.0,1.3,0.9,3.3341178894,n,1
800.0,500.0,1.3,2.0,3.3578710556,n,0
600.0,500.0,1.1,1.1,3.5068731308,n,0
600.0,600.0,1.1,1.0,3.35536503792,n,1
800.0,200.0,1.2,2.1,2.57852101326,y,1
