name,date,intensity,color,t_start_interval,time1,time2,time3
RW_rot,Thu Apr 14 08:28:19 2016,1023,R,0.5,0.3,1.7,0.3
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
200.0,800.0,0.9,1.5,3.09793996811,y,1
600.0,800.0,0.7,0.9,3.04451489449,y,1
600.0,800.0,0.9,0.3,2.79001092911,n,0
600.0,400.0,0.8,1.9,2.8888399601,n,0
400.0,600.0,0.9,1.5,2.05021500587,y,1
200.0,400.0,0.7,0.9,1.28704595566,y,1
800.0,800.0,0.8,1.6,2.86789178848,n,1
800.0,200.0,0.5,0.7,1.14443492889,y,1
600.0,200.0,0.7,0.7,1.05544686317,y,1
200.0,200.0,0.6,0.3,2.7769920826,n,1
800.0,800.0,0.7,0.4,3.18050813675,n,1
400.0,600.0,0.7,0.7,3.3360888958,n,0
600.0,600.0,0.7,0.7,3.22101306915,n,1
200.0,800.0,0.6,1.2,1.63740086555,y,1
400.0,600.0,0.8,1.7,3.14354300499,y,1
200.0,200.0,0.8,1.7,4.27276110649,n,1
200.0,400.0,0.8,1.2,1.86395215988,y,1
600.0,400.0,0.8,0.8,3.15019607544,n,0
400.0,800.0,0.8,1.8,2.46673893929,y,1
400.0,200.0,0.9,0.4,0.975186824799,y,1
400.0,400.0,0.6,1.3,3.22805595398,n,1
200.0,400.0,0.9,1.2,1.5140171051,y,1
800.0,200.0,0.6,0.6,0.913714170456,y,1
600.0,400.0,0.6,0.8,3.31364011765,n,0
200.0,600.0,0.5,0.6,0.97474193573,y,1
800.0,400.0,0.7,1.1,3.06183195114,n,0
800.0,600.0,0.6,1.0,3.10949707031,n,0
400.0,200.0,0.9,1.5,1.81588697433,y,1
600.0,600.0,0.7,0.6,3.18117308617,n,1
400.0,800.0,0.7,0.5,3.53412604332,n,0
600.0,200.0,0.9,1.5,1.900370121,y,1
800.0,800.0,0.8,1.8,2.94061017036,n,1
400.0,400.0,0.9,1.1,3.05157113075,n,1
400.0,200.0,0.7,1.7,1.99794411659,y,1
200.0,400.0,0.7,1.6,1.94082999229,y,1
