name,date,intensity,color,t_start_interval,time1,time2,time3
TW,Thu Apr 14 09:11:26 2016,1023,G,0.5,0.3,1.7,0.3
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
200.0,800.0,0.9,1.4,2.89123296738,y,1
400.0,400.0,0.6,0.8,3.51142501831,n,1
200.0,200.0,0.8,1.5,3.51127576828,n,1
800.0,800.0,0.5,0.7,4.43011188507,n,1
200.0,400.0,0.9,1.3,3.77845716476,y,1
200.0,400.0,0.8,0.4,3.53804397583,y,1
800.0,800.0,0.6,1.3,3.72125697136,n,1
600.0,800.0,0.9,0.5,4.07100105286,n,0
600.0,600.0,0.7,1.7,4.34876799583,n,1
800.0,400.0,0.7,1.9,4.58949589729,y,1
200.0,600.0,0.8,1.9,3.57517790794,y,1
800.0,200.0,0.7,0.4,3.1250770092,y,1
400.0,800.0,0.9,1.3,3.09827184677,y,1
800.0,200.0,0.5,0.7,3.19902396202,y,1
200.0,200.0,0.8,1.4,3.13144493103,n,1
400.0,600.0,0.9,0.8,3.26901698112,y,1
600.0,400.0,0.6,1.4,4.08297801018,y,1
800.0,600.0,0.7,1.4,3.47437214851,n,0
800.0,200.0,0.7,1.4,3.65769696236,y,1
600.0,600.0,0.7,1.0,4.58642292023,n,1
800.0,800.0,0.9,0.5,3.5486869812,n,1
400.0,600.0,0.9,1.6,3.74511003494,y,1
200.0,200.0,0.8,0.4,4.02163910866,n,1
600.0,400.0,0.7,0.3,3.32290101051,y,1
600.0,400.0,0.6,0.3,3.67917013168,y,1
800.0,600.0,0.9,1.0,3.49927306175,n,0
600.0,200.0,0.6,1.6,4.16270804405,y,1
200.0,400.0,0.9,0.6,3.00085115433,y,1
200.0,600.0,0.8,0.6,3.04083514214,y,1
600.0,800.0,0.5,1.0,3.4477391243,y,1
800.0,600.0,0.5,1.6,3.2292778492,y,1
800.0,200.0,0.8,0.3,3.59481811523,y,1
200.0,800.0,0.5,1.8,3.86446595192,y,1
800.0,600.0,0.8,1.2,4.17828607559,y,1
200.0,800.0,0.8,1.0,4.55935788155,y,1
400.0,600.0,0.9,1.7,4.70854711533,y,1
400.0,800.0,0.5,0.3,5.63647890091,y,1
800.0,400.0,0.7,1.4,4.28237390518,y,1
200.0,200.0,0.8,1.2,3.93409991264,n,1
800.0,800.0,0.5,0.5,3.89708614349,n,1
600.0,400.0,0.8,1.8,4.39748501778,y,1
200.0,400.0,0.8,0.3,4.1492087841,n,0
400.0,200.0,0.8,0.6,3.69882488251,y,1
800.0,400.0,0.9,1.5,3.99162817001,y,1
600.0,400.0,0.9,1.0,2.96407794952,y,1
600.0,200.0,0.8,1.3,3.91225504875,y,1
800.0,800.0,0.8,1.4,3.46441483498,n,1
400.0,400.0,0.5,0.6,3.93070292473,n,1
600.0,600.0,0.6,1.6,3.93781900406,n,1
600.0,800.0,0.8,0.4,4.66909408569,n,0
600.0,600.0,0.9,1.2,4.23827910423,n,1
200.0,400.0,0.6,1.5,3.38979506493,y,1
200.0,800.0,0.7,0.7,3.63752698898,y,1
400.0,800.0,0.6,0.3,3.26050400734,y,1
400.0,800.0,0.5,0.8,3.17571306229,y,1
400.0,200.0,0.9,1.3,4.07572507858,y,1
200.0,400.0,0.7,1.0,3.49075698853,y,1
600.0,800.0,0.7,0.5,3.37605381012,n,0
600.0,600.0,0.6,0.3,3.14075493813,n,1
600.0,400.0,0.5,0.7,2.93859410286,y,1
600.0,200.0,0.5,1.8,3.30527591705,y,1
200.0,200.0,0.8,1.0,3.23536109924,n,1
400.0,400.0,0.9,0.5,3.11171579361,n,1
600.0,200.0,0.8,1.3,3.0692858696,y,1
800.0,800.0,0.8,1.6,3.45922994614,n,1
200.0,600.0,0.9,1.7,3.45453906059,y,1
800.0,600.0,0.5,1.4,3.67479515076,n,0
200.0,600.0,0.7,1.1,3.15343093872,y,1
200.0,200.0,0.5,0.5,3.48344302177,n,1
600.0,200.0,0.8,0.7,3.2235519886,y,1
200.0,200.0,0.8,1.7,5.156001091,n,1
400.0,800.0,0.8,1.8,5.21762895584,y,1
200.0,400.0,0.5,1.5,3.81305980682,n,0
400.0,200.0,0.5,0.3,3.18070292473,y,1
400.0,800.0,0.8,1.9,4.12932395935,y,1
400.0,200.0,0.7,1.3,3.3775677681,y,1
400.0,200.0,0.7,1.3,3.79871892929,y,1
400.0,600.0,0.9,1.6,3.11396098137,n,0
200.0,800.0,0.7,0.8,2.87882208824,y,1
600.0,600.0,0.8,0.5,3.34488511086,n,1
600.0,400.0,0.6,1.8,3.53322601318,n,0
800.0,600.0,0.7,1.6,3.20359492302,n,0
200.0,600.0,0.9,0.3,2.21347308159,y,1
400.0,200.0,0.8,1.9,3.43570899963,y,1
800.0,400.0,0.5,0.8,3.19108104706,y,1
400.0,600.0,0.9,0.8,3.19401907921,n,0
400.0,600.0,0.8,0.6,3.41954898834,n,0
600.0,600.0,0.6,1.0,3.44381403923,n,1
800.0,800.0,0.6,0.8,3.409252882,n,1
400.0,400.0,0.8,1.5,3.21029782295,n,1
400.0,400.0,0.7,0.8,4.18303203583,n,1
800.0,400.0,0.9,0.3,3.17712807655,y,1
400.0,800.0,0.6,0.4,3.0662779808,y,1
200.0,800.0,0.7,1.2,3.03245091438,y,1
800.0,400.0,0.9,1.4,3.03852391243,y,1
800.0,800.0,0.9,1.6,3.26468300819,n,1
800.0,400.0,0.5,1.5,3.21104383469,y,1
800.0,600.0,0.9,1.4,3.77985596657,n,0
400.0,400.0,0.7,1.1,3.35081410408,n,1
400.0,200.0,0.7,0.6,3.06426000595,y,1
800.0,600.0,0.6,0.4,3.89812493324,n,0
400.0,400.0,0.5,1.5,3.45154285431,n,1
400.0,800.0,0.9,0.8,3.29524588585,y,1
600.0,400.0,0.7,1.9,3.28599095345,y,1
800.0,800.0,0.7,0.9,3.39918994904,n,1
800.0,200.0,0.5,1.9,3.53540802002,y,1
800.0,800.0,0.8,1.9,3.7164440155,n,1
200.0,200.0,0.7,0.6,4.18406295776,n,1
200.0,400.0,0.6,0.9,3.28211188316,y,1
600.0,400.0,0.7,1.9,4.20953702927,n,0
600.0,600.0,0.8,1.3,4.17175292969,n,1
600.0,600.0,0.9,1.0,3.75199508667,n,1
400.0,800.0,0.7,0.7,3.39205408096,y,1
400.0,800.0,0.6,1.4,3.42206907272,y,1
200.0,400.0,0.5,0.4,2.95844197273,y,1
200.0,600.0,0.8,0.6,4.32344293594,y,1
200.0,600.0,0.6,1.5,3.37948703766,y,1
600.0,200.0,0.7,1.3,3.02957296371,y,1
200.0,600.0,0.5,0.3,3.63622689247,y,1
800.0,400.0,0.5,0.3,3.64345192909,y,1
400.0,400.0,0.9,0.6,3.0898270607,n,1
200.0,800.0,0.5,1.7,2.96569395065,y,1
600.0,200.0,0.8,0.5,2.97718000412,y,1
600.0,800.0,0.5,0.7,3.25002503395,n,0
800.0,600.0,0.8,1.6,3.60697698593,n,0
800.0,200.0,0.7,0.7,3.24568581581,y,1
800.0,200.0,0.8,0.3,3.10064005852,y,1
200.0,600.0,0.5,1.8,3.8006310463,y,1
400.0,600.0,0.8,0.7,3.96550011635,n,0
400.0,600.0,0.8,1.1,2.8786509037,y,1
400.0,400.0,0.9,1.1,3.13365602493,n,1
600.0,200.0,0.5,1.7,3.07723999023,y,1
200.0,400.0,0.5,1.9,3.37478303909,y,1
800.0,200.0,0.9,0.4,3.66635608673,y,1
600.0,200.0,0.5,1.6,3.25161886215,y,1
400.0,400.0,0.9,1.6,3.03271818161,n,1
600.0,800.0,0.7,1.1,3.03353905678,n,0
800.0,600.0,0.5,0.9,3.28414392471,n,0
400.0,200.0,0.9,0.3,2.83734703064,y,1
200.0,800.0,0.9,1.2,3.40229678154,y,1
400.0,200.0,0.9,0.6,3.3070640564,y,1
200.0,800.0,0.9,0.8,3.57762598991,y,1
200.0,200.0,0.9,1.3,3.43992304802,n,1
400.0,600.0,0.6,0.6,2.88021397591,n,0
800.0,400.0,0.9,1.0,2.86131000519,y,1
600.0,800.0,0.5,0.6,3.03534793854,n,0
600.0,800.0,0.9,1.9,4.56129813194,n,0
800.0,200.0,0.9,1.0,2.97348713875,y,1
600.0,800.0,0.8,1.8,3.18760800362,n,0
600.0,400.0,0.7,1.3,3.11277699471,n,0
600.0,600.0,0.6,1.0,3.04474711418,n,1
600.0,800.0,0.7,1.0,3.12899279594,n,0
600.0,200.0,0.7,1.6,3.16554903984,y,1
200.0,600.0,0.5,1.2,2.97977805138,y,1
800.0,400.0,0.6,0.4,3.07980203629,y,1
800.0,200.0,0.9,1.7,3.16120696068,y,1
400.0,600.0,0.8,0.6,3.38581609726,y,1
200.0,200.0,0.5,0.5,3.37943100929,n,1
200.0,800.0,0.5,0.6,2.8855240345,y,1
400.0,200.0,0.7,0.8,3.10857200623,y,1
