name,date,intensity,color,t_start_interval,time1,time2,time3
AK,Thu Apr 21 15:17:52 2016,1023,G,0.5,0.5,1.7,0.5
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
600.0,400.0,1.1,0.8,3.98248004913,n,0
600.0,600.0,1.0,1.6,4.30438399315,n,1
600.0,400.0,1.2,1.4,3.80832290649,n,0
200.0,500.0,1.0,1.8,3.62043714523,y,1
800.0,200.0,1.2,2.0,4.71669602394,y,1
200.0,600.0,1.2,1.9,3.81436800957,y,1
400.0,800.0,1.1,1.7,3.84043192863,n,0
400.0,500.0,1.1,0.9,5.1397459507,n,0
200.0,800.0,1.3,1.6,4.21092796326,y,1
500.0,800.0,1.2,1.5,4.15674090385,n,0
400.0,800.0,1.3,0.5,4.57803702354,y,1
500.0,800.0,1.4,2.1,4.69303417206,n,0
500.0,400.0,1.1,2.1,5.66350889206,n,0
200.0,200.0,1.1,1.8,5.37444400787,n,1
600.0,600.0,1.0,1.5,5.71550893784,n,1
800.0,200.0,1.3,1.0,3.9457089901,y,1
500.0,800.0,1.4,0.5,4.23428201675,n,0
500.0,200.0,1.0,0.9,3.85995316505,y,1
200.0,600.0,1.2,0.7,4.58310103416,n,0
500.0,600.0,1.1,0.5,4.10108494759,n,0
600.0,500.0,1.3,2.0,4.3307390213,n,0
400.0,600.0,1.2,0.7,3.97433304787,n,0
200.0,600.0,1.0,1.8,5.14754104614,y,1
200.0,500.0,1.0,1.3,5.3538479805,y,1
500.0,800.0,1.0,0.7,6.78519797325,n,0
200.0,400.0,1.3,1.7,4.21723389626,y,1
800.0,400.0,1.0,0.6,5.15206599236,n,0
200.0,400.0,1.3,2.0,4.86288785934,y,1
800.0,600.0,1.3,0.5,5.23208189011,n,0
500.0,200.0,1.0,0.5,8.76272511482,y,1
500.0,400.0,1.1,0.6,4.39784789085,n,0
800.0,600.0,1.4,1.6,7.235227108,n,0
500.0,200.0,1.3,1.3,3.77507710457,y,1
200.0,800.0,1.3,0.9,5.91942095757,y,1
600.0,400.0,1.4,2.0,11.5787570477,n,0
600.0,200.0,1.2,1.8,4.3563079834,y,1
200.0,800.0,1.1,1.8,3.94274497032,y,1
600.0,200.0,1.3,0.5,3.88448905945,y,1
800.0,800.0,1.0,1.7,4.2144780159,n,1
200.0,500.0,1.4,1.4,5.36563491821,n,0
600.0,200.0,1.2,0.6,5.00592708588,y,1
400.0,500.0,1.4,0.7,5.38025093079,n,0
400.0,800.0,1.3,1.7,4.78858780861,n,0
600.0,800.0,1.3,1.8,4.19465184212,n,0
400.0,600.0,1.4,1.4,4.7040450573,n,0
400.0,500.0,1.0,1.7,5.69321680069,n,0
500.0,600.0,1.0,1.0,4.32435798645,n,0
400.0,600.0,1.0,1.1,5.22597193718,y,1
800.0,600.0,1.4,1.3,3.99375796318,y,1
200.0,400.0,1.2,1.4,3.67168593407,y,1
400.0,600.0,1.0,0.5,5.4776828289,n,0
200.0,600.0,1.3,1.4,4.58661603928,y,1
600.0,800.0,1.1,1.1,3.75172495842,n,0
400.0,500.0,1.4,1.4,4.10433793068,n,0
500.0,200.0,1.1,1.6,3.71980905533,y,1
200.0,600.0,1.1,1.8,3.63262605667,y,1
500.0,600.0,1.2,1.9,5.18039798737,n,0
200.0,600.0,1.1,1.8,5.27333498001,y,1
600.0,800.0,1.1,0.6,4.09777998924,n,0
600.0,200.0,1.0,0.6,3.88548612595,y,1
400.0,200.0,1.2,0.9,4.26930499077,y,1
500.0,400.0,1.3,0.7,5.3447291851,n,0
500.0,400.0,1.1,1.4,4.74899888039,n,0
800.0,800.0,1.4,2.0,4.05871796608,n,1
800.0,600.0,1.1,1.3,3.92516684532,n,0
800.0,800.0,1.3,1.1,4.27227282524,n,1
600.0,200.0,1.4,1.0,4.08714103699,y,1
600.0,800.0,1.3,0.5,4.33949708939,n,0
200.0,800.0,1.0,1.6,3.64333987236,y,1
400.0,400.0,1.2,1.9,4.95022583008,n,1
800.0,600.0,1.2,1.5,3.73777604103,y,1
800.0,200.0,1.0,0.9,4.68450403214,y,1
800.0,400.0,1.0,0.8,3.75931596756,y,1
600.0,200.0,1.2,1.9,4.12417697906,y,1
500.0,600.0,1.3,1.4,3.7800359726,n,0
800.0,600.0,1.0,0.7,4.0914709568,n,0
600.0,400.0,1.0,1.0,4.10869789124,n,0
500.0,400.0,1.3,1.2,4.02571606636,y,1
800.0,200.0,1.4,1.1,4.69240117073,y,1
800.0,800.0,1.2,1.2,3.80974197388,n,1
500.0,600.0,1.3,2.0,4.35581302643,n,0
200.0,200.0,1.4,1.6,4.76722311974,n,1
200.0,500.0,1.4,0.8,3.90202188492,y,1
600.0,600.0,1.1,1.8,3.92303180695,n,1
600.0,800.0,1.3,2.1,4.54742503166,n,0
600.0,200.0,1.3,0.5,3.96448993683,y,1
600.0,500.0,1.1,1.0,4.39470887184,n,0
400.0,800.0,1.2,0.9,3.66611480713,y,1
800.0,500.0,1.1,1.2,4.10783004761,n,0
800.0,800.0,1.1,2.1,4.22534513474,n,1
200.0,400.0,1.1,2.0,4.42302417755,n,0
800.0,200.0,1.4,0.6,4.14421892166,y,1
400.0,600.0,1.3,1.2,4.13374495506,n,0
400.0,400.0,1.3,0.9,4.07321095467,n,1
800.0,200.0,1.4,1.2,3.57215714455,y,1
400.0,500.0,1.0,1.0,3.62323999405,n,0
800.0,500.0,1.0,1.5,4.06003093719,n,0
600.0,500.0,1.0,1.3,3.45738887787,n,0
500.0,200.0,1.3,0.8,3.49019002914,y,1
200.0,500.0,1.0,1.8,4.87782597542,y,1
200.0,400.0,1.4,0.8,4.69188904762,y,1
500.0,800.0,1.4,0.7,3.5580599308,n,0
200.0,200.0,1.0,0.5,4.76694202423,n,1
800.0,400.0,1.0,1.2,3.88901281357,n,0
400.0,200.0,1.4,1.8,3.37394809723,y,1
500.0,400.0,1.4,0.8,3.48828291893,n,0
200.0,600.0,1.0,2.1,3.36733102798,y,1
800.0,500.0,1.0,1.2,3.70410704613,n,0
500.0,600.0,1.3,0.9,3.48997616768,n,0
600.0,400.0,1.3,1.8,3.50628089905,n,0
200.0,500.0,1.2,0.9,3.56476688385,y,1
