name,date,intensity,color,t_start_interval,time1,time2,time3
NK,Thu Apr 21 14:31:05 2016,1023,G,0.5,0.5,1.7,0.5
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
600.0,400.0,1.3,1.9,4.23446798325,y,1
400.0,600.0,1.4,0.6,2.68447899818,y,1
800.0,400.0,1.2,1.5,2.39231705666,y,1
800.0,800.0,1.4,0.8,3.88076496124,n,1
500.0,800.0,1.1,1.1,4.93876600266,y,1
800.0,500.0,1.1,1.3,3.29819083214,y,1
600.0,200.0,1.3,2.0,3.32844901085,y,1
800.0,200.0,1.4,2.1,2.83154296875,y,1
800.0,200.0,1.3,0.6,1.59171891212,y,1
600.0,500.0,1.0,1.9,3.46962785721,n,0
400.0,600.0,1.4,0.8,3.18811893463,y,1
400.0,200.0,1.2,1.7,3.27376890182,y,1
200.0,800.0,1.1,1.1,1.87070798874,y,1
400.0,500.0,1.0,1.7,3.94428801537,n,0
600.0,600.0,1.1,1.9,3.36114096642,n,1
200.0,400.0,1.1,0.8,1.75718688965,y,1
600.0,400.0,1.3,0.8,1.80951595306,y,1
600.0,800.0,1.2,1.9,3.17919111252,n,0
800.0,800.0,1.4,1.4,3.17073893547,n,1
200.0,800.0,1.1,2.1,3.14442300797,y,1
200.0,800.0,1.1,2.0,2.78275895119,y,1
200.0,200.0,1.1,0.9,3.16974902153,n,1
200.0,500.0,1.4,1.4,2.03175616264,y,1
600.0,400.0,1.3,1.5,2.41089105606,y,1
400.0,800.0,1.3,0.8,2.32395100594,y,1
600.0,500.0,1.2,1.8,3.2516272068,n,0
600.0,800.0,1.4,0.6,3.75739192963,n,0
600.0,400.0,1.2,2.0,3.21191000938,n,0
200.0,600.0,1.2,1.0,2.00074481964,y,1
200.0,500.0,1.2,2.1,2.72050499916,y,1
500.0,200.0,1.0,2.1,2.59325003624,y,1
800.0,200.0,1.3,0.8,1.46062803268,y,1
500.0,800.0,1.3,2.1,3.80396199226,y,1
200.0,500.0,1.2,1.3,1.81915712357,y,1
600.0,500.0,1.2,2.1,3.16995191574,n,0
500.0,800.0,1.4,1.0,2.23881816864,y,1
500.0,600.0,1.2,1.6,3.04888796806,n,0
500.0,200.0,1.1,1.0,1.47742199898,y,1
600.0,400.0,1.3,1.4,2.7491850853,y,1
400.0,400.0,1.4,0.8,3.07722306252,n,1
600.0,200.0,1.3,2.0,2.50331306458,y,1
200.0,200.0,1.3,1.6,3.34386014938,n,1
400.0,600.0,1.0,1.8,2.58200502396,y,1
600.0,200.0,1.4,1.3,1.84193706512,y,1
200.0,500.0,1.0,1.2,1.9737610817,y,1
800.0,500.0,1.0,1.3,2.18131017685,n,0
600.0,500.0,1.0,1.1,3.40418195724,n,0
400.0,400.0,1.1,2.0,3.11641812325,n,1
800.0,600.0,1.0,1.9,3.06523394585,n,0
200.0,200.0,1.3,1.4,3.23506903648,n,1
600.0,600.0,1.2,1.9,3.12434196472,n,1
200.0,500.0,1.3,1.2,1.99292087555,y,1
200.0,200.0,1.3,1.4,3.23547315598,n,1
500.0,400.0,1.4,2.0,3.00717306137,y,1
600.0,200.0,1.4,2.1,2.60110497475,y,1
800.0,500.0,1.0,1.0,2.16598916054,y,1
400.0,800.0,1.1,1.9,2.43007397652,y,1
400.0,200.0,1.0,1.3,1.8729789257,y,1
400.0,400.0,1.0,1.8,3.09084796906,n,1
800.0,800.0,1.1,1.0,4.41422319412,n,1
400.0,500.0,1.0,0.5,3.04787302017,n,0
800.0,500.0,1.3,1.1,1.90763902664,y,1
500.0,600.0,1.4,1.4,3.09428811073,n,0
800.0,600.0,1.1,1.7,3.26941800117,n,0
200.0,600.0,1.1,1.3,1.82804489136,y,1
200.0,600.0,1.2,1.4,1.89024114609,y,1
600.0,800.0,1.3,1.7,2.3367869854,y,1
400.0,600.0,1.3,2.0,3.14642000198,n,0
800.0,400.0,1.0,1.7,2.5415148735,y,1
500.0,400.0,1.1,1.4,3.05568385124,n,0
200.0,200.0,1.0,1.4,3.10192203522,n,1
800.0,400.0,1.0,1.2,1.76409220695,y,1
800.0,600.0,1.0,1.7,3.08385300636,n,0
400.0,400.0,1.0,0.5,3.74570202827,n,1
200.0,200.0,1.0,1.4,3.0311858654,n,1
400.0,500.0,1.3,1.8,2.56984591484,y,1
500.0,600.0,1.0,2.1,3.18850183487,n,0
200.0,800.0,1.4,0.6,1.21376085281,y,1
200.0,200.0,1.0,0.9,3.17462992668,n,1
600.0,500.0,1.1,1.2,3.2475168705,y,1
600.0,800.0,1.1,0.9,3.12272810936,n,0
500.0,200.0,1.0,0.8,1.40831208229,y,1
400.0,200.0,1.2,1.5,2.05693411827,y,1
400.0,600.0,1.1,1.5,2.31323695183,y,1
