name,date,intensity,color,t_start_interval,time1,time2,time3
RW,Mon Apr 25 16:08:48 2016,1023,G,0.5,0.5,1.7,0.5
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
800.0,600.0,1.4,1.5,3.76925492287,n,0
600.0,400.0,1.1,1.5,3.0082359314,y,1
500.0,200.0,1.1,0.8,1.25968503952,y,1
500.0,800.0,1.4,0.7,1.15849900246,y,1
600.0,400.0,1.3,2.1,3.72972106934,n,0
600.0,500.0,1.1,1.2,3.50548696518,n,0
500.0,200.0,1.2,1.8,2.16391086578,y,1
400.0,600.0,1.2,1.9,2.85897898674,y,1
200.0,600.0,1.4,1.3,1.64462304115,y,1
800.0,800.0,1.1,1.7,3.33698391914,n,1
500.0,200.0,1.3,2.0,2.42850708961,y,1
800.0,200.0,1.0,0.6,1.04038500786,y,1
200.0,400.0,1.1,1.2,1.53148698807,y,1
600.0,500.0,1.2,0.7,3.11050081253,n,0
600.0,200.0,1.4,2.0,2.54030108452,y,1
400.0,800.0,1.3,0.9,4.02828788757,n,0
200.0,600.0,1.1,1.9,2.27203083038,y,1
200.0,800.0,1.3,1.4,1.69746208191,y,1
600.0,600.0,1.2,1.5,3.1346578598,n,1
600.0,400.0,1.2,1.8,2.35502290726,y,1
600.0,400.0,1.1,1.2,3.59720492363,n,0
800.0,400.0,1.1,1.0,1.33208107948,y,1
500.0,200.0,1.1,0.5,0.830065965652,y,1
600.0,500.0,1.4,1.8,3.56195282936,n,0
800.0,800.0,1.0,0.5,3.48955392838,n,1
800.0,800.0,1.3,2.1,3.19267511368,n,1
800.0,400.0,1.1,1.8,2.18086504936,y,1
800.0,200.0,1.4,0.5,0.871654987335,y,1
500.0,800.0,1.4,1.9,3.43020391464,n,0
500.0,800.0,1.1,1.0,3.32807707787,n,0
400.0,500.0,1.3,1.1,3.30293416977,n,0
200.0,500.0,1.1,1.7,2.15760302544,y,1
600.0,800.0,1.0,1.0,3.2428650856,n,0
500.0,600.0,1.1,0.8,3.33060693741,n,0
600.0,800.0,1.2,2.1,3.17913484573,n,0
600.0,200.0,1.1,0.7,1.05388879776,y,1
400.0,600.0,1.2,0.6,3.28454303741,n,0
600.0,800.0,1.4,0.7,3.32235479355,n,0
200.0,500.0,1.3,0.7,1.12243485451,y,1
500.0,800.0,1.0,0.7,3.25606703758,n,0
200.0,200.0,1.3,1.6,3.32574892044,n,1
400.0,800.0,1.0,1.9,3.36547708511,n,0
400.0,400.0,1.3,2.0,3.47106218338,n,1
400.0,400.0,1.2,1.6,3.29128813744,n,1
800.0,400.0,1.2,1.1,3.28013300896,y,1
200.0,200.0,1.3,1.2,3.32044816017,n,1
200.0,800.0,1.1,1.1,1.4393260479,y,1
400.0,400.0,1.4,1.6,3.28604912758,n,1
500.0,200.0,1.3,0.6,0.946084022522,y,1
800.0,200.0,1.1,0.5,0.821079015732,y,1
400.0,500.0,1.0,2.1,3.20868301392,n,0
800.0,400.0,1.0,1.9,3.27494096756,n,0
400.0,800.0,1.0,1.4,3.33276200294,n,0
400.0,800.0,1.0,2.0,3.34906005859,n,0
200.0,500.0,1.4,1.9,3.31380200386,n,0
