name,date,intensity,color,t_start_interval,time1,time2,time3
SS,Mon Apr 25 14:24:52 2016,1023,G,0.5,0.5,1.7,0.5
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
200.0,200.0,1.0,1.2,3.92941594124,n,1
800.0,600.0,1.1,1.2,3.93119382858,n,0
400.0,400.0,1.4,2.0,3.7731590271,y,0
200.0,400.0,1.3,1.8,3.84459900856,y,1
400.0,400.0,1.3,1.8,7.66443800926,y,0
600.0,200.0,1.4,1.0,9.54309391975,n,0
200.0,800.0,1.2,1.6,14.7665469646,y,1
800.0,200.0,1.4,1.4,7.58312392235,y,1
400.0,500.0,1.4,2.1,5.38080000877,n,0
800.0,800.0,1.1,0.8,4.27749896049,n,1
800.0,500.0,1.0,1.8,7.00323915482,n,0
200.0,400.0,1.0,1.6,3.91976094246,y,1
800.0,200.0,1.4,1.2,6.18615889549,y,1
600.0,400.0,1.1,1.9,4.81074905396,y,1
600.0,400.0,1.0,1.9,6.68434095383,y,1
400.0,800.0,1.1,0.7,7.14284300804,y,1
800.0,400.0,1.1,1.3,5.03565001488,y,1
400.0,500.0,1.4,1.5,4.19597101212,n,0
400.0,800.0,1.3,0.7,4.07580304146,y,1
200.0,800.0,1.2,0.7,5.58581900597,y,1
800.0,200.0,1.1,1.8,4.56741714478,y,1
500.0,600.0,1.1,1.4,3.7258849144,n,0
400.0,500.0,1.0,0.8,6.30920600891,n,0
400.0,500.0,1.0,0.6,3.75700497627,n,0
200.0,200.0,1.1,1.2,6.01262593269,n,1
200.0,600.0,1.1,0.7,3.72860383987,y,1
600.0,200.0,1.3,1.3,3.99811315536,y,1
600.0,500.0,1.1,1.0,4.24314308167,n,0
600.0,400.0,1.4,1.7,4.33793210983,y,1
400.0,400.0,1.4,1.2,3.70661687851,n,1
800.0,800.0,1.1,1.5,4.04688119888,n,1
400.0,800.0,1.1,1.5,3.8398039341,y,1
600.0,400.0,1.2,1.7,3.33108282089,n,0
600.0,600.0,1.2,1.3,5.60817503929,n,1
200.0,500.0,1.0,2.0,3.33212709427,y,1
400.0,500.0,1.4,0.9,3.69007205963,n,0
500.0,200.0,1.1,1.7,4.2964849472,y,1
400.0,800.0,1.2,1.4,4.98794388771,y,1
400.0,800.0,1.0,1.5,10.6544830799,y,1
800.0,500.0,1.1,1.8,3.55750703812,y,1
500.0,600.0,1.2,1.1,3.58516216278,n,0
500.0,200.0,1.1,1.5,3.43842697144,y,1
400.0,200.0,1.1,1.0,3.53381180763,y,1
500.0,400.0,1.0,1.5,3.55776786804,n,0
200.0,200.0,1.4,0.7,4.4474298954,n,1
800.0,800.0,1.0,1.4,3.36458683014,n,1
600.0,500.0,1.2,0.5,6.38414096832,n,0
600.0,600.0,1.0,1.6,4.33252692223,n,1
600.0,800.0,1.1,0.6,3.66603016853,n,0
200.0,400.0,1.1,1.3,3.58371901512,y,1
200.0,200.0,1.2,1.3,3.80972599983,n,1
400.0,200.0,1.0,2.0,3.35296797752,y,1
500.0,200.0,1.4,0.9,3.22584199905,y,1
500.0,800.0,1.4,1.1,9.32631993294,n,0
200.0,400.0,1.3,1.0,4.02220892906,y,1
800.0,800.0,1.1,1.7,3.73755097389,n,1
800.0,500.0,1.4,1.1,3.62396192551,y,1
600.0,600.0,1.3,2.0,3.74148511887,n,1
500.0,600.0,1.4,2.1,3.61035990715,n,0
400.0,500.0,1.4,1.8,3.59124898911,n,0
600.0,200.0,1.0,1.4,3.5893471241,y,1
800.0,400.0,1.3,1.9,4.95785093307,y,1
200.0,500.0,1.4,1.2,4.18481898308,y,1
200.0,600.0,1.0,1.2,3.90217590332,y,1
800.0,600.0,1.0,0.9,3.98953199387,n,0
200.0,800.0,1.4,1.7,3.53523397446,y,1
400.0,600.0,1.3,1.7,3.42321515083,n,0
400.0,500.0,1.4,1.6,3.9198179245,n,0
500.0,400.0,1.3,0.5,3.52716207504,n,0
600.0,400.0,1.4,2.0,3.84893298149,n,0
500.0,400.0,1.4,0.6,4.7266190052,y,1
500.0,800.0,1.1,1.9,3.97992086411,y,1
400.0,400.0,1.1,1.0,3.81728601456,n,1
400.0,200.0,1.1,1.7,3.65382599831,y,1
800.0,800.0,1.3,0.9,3.63999509811,n,1
400.0,400.0,1.1,1.0,3.66865301132,n,1
400.0,500.0,1.0,2.0,3.41403889656,n,0
200.0,400.0,1.3,1.5,3.19716715813,y,1
800.0,400.0,1.0,1.7,3.91486787796,y,1
500.0,600.0,1.2,0.6,3.4934258461,n,0
500.0,200.0,1.0,1.8,3.345443964,y,1
500.0,600.0,1.1,1.0,4.28224396706,n,0
200.0,500.0,1.4,2.0,3.88834881783,y,1
800.0,600.0,1.2,1.5,3.40616607666,n,0
600.0,400.0,1.2,0.8,3.88493204117,n,0
200.0,200.0,1.0,1.9,3.38722896576,n,1
400.0,200.0,1.3,1.4,3.29755806923,y,1
800.0,500.0,1.2,0.7,3.52726602554,n,0
400.0,600.0,1.4,2.1,5.91404819489,n,0
400.0,800.0,1.2,1.4,3.36484003067,y,1
800.0,400.0,1.2,1.4,3.31199193001,y,1
600.0,200.0,1.0,1.3,3.90517997742,y,1
600.0,800.0,1.2,1.7,4.28285503387,n,0
800.0,200.0,1.3,1.5,3.96573114395,y,1
