name,date,intensity,color,t_start_interval,time1,time2,time3
TF,Fri Apr 15 15:35:45 2016,1023,G,0.5,0.5,1.7,0.5
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
800.0,500.0,1.1,1.4,2.73054289818,y,1
400.0,500.0,1.2,0.9,6.92821192741,n,0
800.0,600.0,1.0,1.4,6.85995602608,n,0
400.0,400.0,1.2,0.8,5.67481207848,n,1
800.0,800.0,1.3,1.0,5.06237602234,n,1
200.0,600.0,1.2,1.9,2.69667506218,y,1
800.0,600.0,1.3,0.5,3.08874702454,n,0
400.0,500.0,1.2,0.5,3.27313899994,n,0
200.0,400.0,1.1,1.6,2.69214606285,y,1
600.0,400.0,1.2,1.7,2.68987202644,y,1
500.0,400.0,1.3,1.9,3.22112298012,n,0
400.0,600.0,1.2,1.6,2.70753383636,y,1
500.0,800.0,1.3,0.8,2.70165109634,y,1
500.0,200.0,1.4,1.0,2.68013715744,y,1
500.0,600.0,1.2,1.6,2.7472820282,n,0
600.0,400.0,1.3,1.8,2.72085309029,n,0
600.0,200.0,1.4,0.9,2.96660399437,y,1
200.0,500.0,1.4,1.5,2.69898200035,y,1
800.0,200.0,1.4,0.8,2.74527907372,y,1
800.0,200.0,1.2,1.8,2.72556996346,y,1
200.0,500.0,1.2,0.7,2.70977306366,y,1
200.0,500.0,1.3,0.6,2.77161312103,y,1
800.0,400.0,1.0,1.3,2.7399418354,n,0
400.0,400.0,1.4,1.1,2.87425899506,n,1
600.0,600.0,1.2,0.9,2.70399308205,n,1
400.0,600.0,1.2,1.7,3.58154892921,n,0
500.0,400.0,1.0,1.9,2.77542114258,n,0
200.0,200.0,1.3,1.6,2.71180486679,n,1
600.0,200.0,1.3,2.1,2.70463895798,y,1
800.0,400.0,1.3,1.0,2.72668099403,y,1
600.0,400.0,1.2,0.6,2.96448898315,n,0
400.0,600.0,1.3,1.8,3.02667593956,y,1
400.0,400.0,1.1,0.6,4.67190098763,n,1
200.0,200.0,1.2,2.1,2.73873209953,n,1
600.0,800.0,1.3,2.1,2.72299194336,y,1
200.0,800.0,1.1,0.9,2.68696904182,y,1
500.0,800.0,1.1,0.8,3.26838898659,y,1
600.0,500.0,1.2,1.5,2.8801779747,n,0
200.0,400.0,1.3,1.1,3.1075501442,n,0
800.0,600.0,1.1,1.6,2.70741891861,n,0
600.0,800.0,1.3,1.6,2.82300400734,n,0
200.0,500.0,1.2,2.1,3.7478530407,y,1
600.0,200.0,1.2,0.5,2.69708204269,y,1
500.0,200.0,1.1,0.9,2.692289114,y,1
400.0,500.0,1.1,0.9,2.69523096085,n,0
500.0,800.0,1.1,1.1,4.83790802956,n,0
200.0,200.0,1.4,2.1,2.69599890709,n,1
500.0,400.0,1.0,2.1,2.70150184631,n,0
500.0,800.0,1.1,2.0,2.87910079956,n,0
400.0,800.0,1.2,1.2,2.74558711052,n,0
400.0,500.0,1.2,1.1,2.84124302864,n,0
600.0,500.0,1.0,1.2,4.43655991554,n,0
500.0,800.0,1.1,0.8,2.88960409164,y,1
400.0,800.0,1.4,1.9,2.69456911087,y,1
600.0,600.0,1.0,1.0,2.69588398933,n,1
200.0,600.0,1.4,1.0,2.89493107796,y,1
800.0,500.0,1.3,0.9,2.69920396805,n,0
600.0,600.0,1.4,0.7,2.86041021347,n,1
800.0,200.0,1.4,1.2,2.68783307076,y,1
200.0,200.0,1.2,1.8,2.83648395538,n,1
400.0,200.0,1.0,0.5,2.84632396698,n,0
600.0,200.0,1.1,1.1,2.70406889915,y,1
400.0,600.0,1.0,1.5,3.1975300312,n,0
800.0,600.0,1.0,2.0,7.36610293388,n,0
600.0,400.0,1.2,2.1,2.70382094383,y,1
400.0,200.0,1.2,2.0,2.7177438736,y,1
600.0,500.0,1.2,0.8,3.0370900631,n,0
200.0,400.0,1.0,1.2,2.70674991608,y,1
800.0,800.0,1.0,0.9,3.41135191917,n,1
400.0,400.0,1.0,2.1,3.86619281769,n,1
400.0,500.0,1.1,1.1,3.24393081665,n,0
200.0,200.0,1.3,1.1,2.91962099075,n,1
200.0,800.0,1.3,1.1,3.30279994011,n,0
600.0,400.0,1.1,1.7,2.88287806511,n,0
500.0,800.0,1.0,0.7,2.70373487473,n,0
600.0,200.0,1.1,0.9,2.6997461319,y,1
400.0,800.0,1.4,1.1,1.01087594032,n,0
500.0,200.0,1.4,1.3,2.68648695946,y,1
600.0,800.0,1.1,1.3,2.70160508156,n,0
200.0,500.0,1.0,1.1,2.6990070343,y,1
600.0,600.0,1.4,1.7,3.35272479057,n,1
800.0,800.0,1.0,1.4,3.48024296761,n,1
