name,date,intensity,color,t_start_interval,time1,time2,time3
TW,Fri Apr 15 16:43:04 2016,1023,G,0.5,0.5,1.7,0.5
Freq1,Freq2,t_start,t_flicker,t_keypress,key_pressed,result
200.0,200.0,1.2,1.7,3.57428812981,n,1
400.0,400.0,1.4,0.7,3.22783899307,n,1
400.0,800.0,1.0,0.7,2.70086097717,y,1
600.0,400.0,1.4,1.9,2.75293898582,y,1
200.0,400.0,1.1,1.0,2.86415696144,y,1
800.0,400.0,1.1,0.8,2.69336700439,y,1
400.0,200.0,1.0,1.3,2.7014529705,y,1
500.0,200.0,1.3,1.8,2.83733892441,y,1
800.0,500.0,1.2,0.9,2.70361089706,y,1
600.0,400.0,1.2,1.5,2.70683121681,y,1
800.0,800.0,1.2,1.0,2.70971393585,n,1
500.0,400.0,1.3,0.5,2.69328808784,y,1
600.0,800.0,1.3,0.8,2.69618201256,n,0
200.0,500.0,1.1,2.1,2.70235610008,y,1
200.0,500.0,1.4,0.5,2.68903017044,y,1
200.0,200.0,1.4,1.3,2.69804096222,n,1
800.0,500.0,1.3,1.9,2.70015597343,y,1
200.0,400.0,1.4,0.8,2.70151305199,y,1
500.0,800.0,1.0,1.6,2.70082902908,y,1
400.0,200.0,1.4,1.8,2.68589901924,y,1
200.0,600.0,1.2,1.0,2.69413399696,y,1
200.0,800.0,1.0,1.7,2.72795295715,y,1
400.0,200.0,1.3,2.0,2.707269907,y,1
200.0,400.0,1.3,1.6,2.70905804634,y,1
600.0,600.0,1.4,1.4,2.70469999313,n,1
200.0,400.0,1.4,1.9,2.69798183441,y,1
500.0,800.0,1.3,1.7,2.70718216896,n,0
600.0,400.0,1.4,1.5,2.69477701187,n,0
500.0,400.0,1.0,0.5,2.7227230072,n,0
600.0,500.0,1.3,1.6,2.70360183716,n,0
200.0,200.0,1.2,0.7,2.69993591309,n,1
800.0,500.0,1.2,0.7,2.70633196831,y,1
400.0,500.0,1.2,0.9,2.70014810562,n,0
200.0,800.0,1.2,2.1,2.69848608971,y,1
500.0,800.0,1.3,1.3,2.7022049427,y,1
600.0,400.0,1.3,1.2,2.7053899765,y,1
800.0,200.0,1.4,1.8,2.70078516006,y,1
600.0,800.0,1.3,0.9,2.69285106659,n,0
200.0,200.0,1.1,2.1,2.70271682739,n,1
800.0,500.0,1.2,1.2,2.7245118618,y,1
200.0,200.0,1.1,2.1,2.70013308525,n,1
200.0,500.0,1.1,0.7,2.70156598091,y,1
400.0,500.0,1.4,2.1,2.69974017143,n,0
400.0,500.0,1.0,0.6,2.84644913673,n,0
600.0,500.0,1.2,0.7,2.716755867,n,0
500.0,200.0,1.0,2.1,2.67801117897,y,1
200.0,400.0,1.4,1.8,2.69926309586,y,1
400.0,400.0,1.1,1.8,2.77517604828,n,1
500.0,600.0,1.1,1.0,2.70096993446,n,0
500.0,200.0,1.0,1.8,2.70364809036,y,1
600.0,600.0,1.1,1.4,3.00242996216,n,1
500.0,400.0,1.0,1.8,2.7015709877,n,0
200.0,600.0,1.4,1.1,2.70038700104,y,1
400.0,400.0,1.1,1.9,2.78744101524,n,1
800.0,200.0,1.2,0.5,2.70737695694,y,1
800.0,600.0,1.3,0.7,2.70593810081,n,0
600.0,200.0,1.4,0.9,2.70756983757,y,1
800.0,400.0,1.2,0.7,2.69041395187,y,1
400.0,800.0,1.2,0.6,2.69730186462,y,1
400.0,600.0,1.1,1.0,2.71299004555,y,1
400.0,200.0,1.4,1.9,2.69403004646,y,1
600.0,400.0,1.3,0.6,2.6938688755,y,1
600.0,800.0,1.1,0.7,2.72625303268,n,0
200.0,400.0,1.2,1.9,2.70982003212,y,1
500.0,400.0,1.4,2.0,2.70998883247,n,0
